timestamp_ms,ok,elapsed_ms,stage,mode,segment_method,roi,scale,error
1778919187311,True,381,full,dermoscopy,dual,"[27, 53, 548, 397]",1.0,
1779161860502,True,386,full,dermoscopy,dual,"[158, 0, 348, 428]",1.0,
1779162708311,True,162,full,gray_medical,dual,"[189, 222, 132, 149]",1.0,
1779267186723,True,137,full,gray_medical,dual,"[189, 222, 132, 149]",1.0,
1779267249506,True,373,full,dermoscopy,dual,"[158, 0, 348, 428]",1.0,
1779267257249,True,167,full,gray_medical,dual,"[189, 222, 132, 149]",1.0,
1780042941087,True,509,full,dermoscopy,dual,"[145, 0, 455, 387]",1.0,
1780042988159,True,104,full,dermoscopy,dual,"[0, 0, 600, 450]",1.0,
1780042999220,True,84,full,gray_medical,dual,"[385, 305, 22, 22]",1.0,
1780045519828,True,162,full,gray_medical,dual,"[189, 222, 132, 149]",1.0,
1780045576890,True,286,full,dermoscopy,dual,"[158, 0, 348, 428]",1.0,
1780046078526,True,282,full,dermoscopy,dual,"[139, 0, 409, 430]",1.0,
1780046102231,True,123,full,dermoscopy,dual,"[139, 0, 409, 430]",1.0,
1780046162046,True,119,full,dermoscopy,dual,"[12, 33, 588, 417]",1.0,
1780046219224,True,121,full,dermoscopy,dual,"[27, 97, 424, 353]",1.0,
1780046396393,True,128,full,dermoscopy,dual,"[0, 0, 600, 450]",1.0,
1780046512386,True,134,full,dermoscopy,dual,"[139, 0, 409, 430]",1.0,
1780046571012,True,103,full,dermoscopy,otsu_roi,"[139, 0, 409, 430]",1.0,
1780046576610,True,108,full,dermoscopy,otsu_roi,"[139, 0, 409, 430]",1.0,
1780046584411,True,96,full,dermoscopy,otsu_roi,"[139, 0, 409, 430]",1.0,
1780046591223,True,177,full,dermoscopy,dual,"[139, 0, 409, 430]",1.0,
1780047221615,True,283,full,dermoscopy,dual,"[139, 0, 409, 430]",1.0,
1780047225584,True,128,full,dermoscopy,dual,"[139, 0, 409, 430]",1.0,
1780047251737,True,140,full,dermoscopy,dual,"[139, 0, 409, 430]",1.0,
1780050214826,True,332,full,dermoscopy,dual,"[139, 0, 409, 430]",1.0,
1780050237372,True,150,full,dermoscopy,dual,"[118, 42, 421, 408]",1.0,
1780050260825,True,189,full,dermoscopy,dual,"[118, 42, 421, 408]",1.0,
1780050316031,True,193,full,dermoscopy,dual,"[12, 33, 588, 417]",1.0,
